preco,dormitorios,area,vagas,bairro,tipo
1055000.0,3.0,128.0,3.0,CentralParque,Apartamento
1112000.0,3.0,13634.0,2.0,MeninoDeus,Apartamento
1620000.0,3.0,20487.0,3.0,RioBranco,Apartamento
1190000.0,3.0,241.0,2.0,Sarandi,Casa
3053011.0,4.0,2713.0,4.0,BelaVista,Apartamento
512000.0,3.0,8228.0,1.0,JardimLindóia,Apartamento
2750000.0,3.0,29701.0,3.0,BoaVista,Cobertura
1490000.0,3.0,12966.0,2.0,JardimEuropa,Apartamento
1050000.0,2.0,862.0,1.0,TrêsFigueiras,Apartamento
325000.0,1.0,42.0,0.0,CentroHistórico,Apartamento
780000.0,3.0,11032.0,2.0,Auxiliadora,Apartamento
285000.0,2.0,6156.0,1.0,JardimCarvalho,Apartamento
269000.0,2.0,5241.0,1.0,Teresópolis,Apartamento
265000.0,2.0,58.0,1.0,VilaNova,Apartamento
1320000.0,3.0,177.0,3.0,Higienópolis,Apartamento
950000.0,3.0,10587.0,2.0,Petrópolis,Apartamento
544000.0,1.0,64.0,1.0,JardimdoSalso,Loft
620000.0,3.0,8253.0,2.0,Camaquã,Apartamento
1740000.0,3.0,19141.0,4.0,RioBranco,Apartamento
558913.0,2.0,5654.0,1.0,JardimLindoia,Apartamento
895000.0,4.0,149.0,2.0,Agronomia,Casa
830000.0,3.0,11122.0,2.0,Higienópolis,Apartamento
3376614.0,4.0,23648.0,4.0,VilaIpiranga,Apartamento
349000.0,3.0,7205.0,1.0,Teresópolis,Apartamento
7800000.0,4.0,600.0,4.0,Petrópolis,Cobertura
1016000.0,3.0,128.0,2.0,CentralParque,Apartamento
3200000.0,6.0,44539.0,2.0,TrêsFigueiras,Casa
1690000.0,3.0,12039.0,2.0,MeninoDeus,Apartamento
1589000.0,3.0,162.0,3.0,CentralParque,Apartamento
1160000.0,3.0,13071.0,2.0,MontSerrat,Apartamento
1190000.0,2.0,8347.0,2.0,JardimEuropa,Apartamento
990000.0,2.0,17456.0,1.0,ChácaradasPedras,Cobertura
465000.0,2.0,6244.0,2.0,JardimdoSalso,Apartamento
539000.0,2.0,6622.0,1.0,Petrópolis,Apartamento
439000.0,3.0,7154.0,1.0,Medianeira,Apartamento
498041.0,1.0,3676.0,1.0,BoaVista,Apartamento
1349000.0,3.0,140.0,2.0,BelaVista,Apartamento
683810.0,2.0,8843.0,2.0,CristoRedentor,Apartamento
1609000.0,3.0,136.0,2.0,Petrópolis,Apartamento
395000.0,3.0,6869.0,1.0,VilaIpiranga,Apartamento
306900.0,2.0,7294.0,1.0,JardimCarvalho,Apartamento
319000.0,1.0,433.0,1.0,JardimdoSalso,Apartamento
380000.0,3.0,7205.0,2.0,Teresópolis,Apartamento
260000.0,2.0,58.0,1.0,VilaNova,Apartamento
2400000.0,3.0,3883.0,4.0,TrêsFigueiras,Casa
409131.0,1.0,429.0,1.0,Floresta,Apartamento
340000.0,3.0,63.0,1.0,JardimItu,Apartamento
380000.0,2.0,7325.0,1.0,Cristal,Apartamento
330000.0,3.0,7102.0,1.0,Cavalhada,Apartamento
550000.0,1.0,64.0,1.0,CentralParque,Loft
296000.0,3.0,6754.0,1.0,Tristeza,Apartamento
655000.0,3.0,151.0,3.0,Sarandi,Casa
1700000.0,3.0,24813.0,3.0,ChácaradasPedras,Casa
600000.0,3.0,7324.0,1.0,ChácaradasPedras,Apartamento
590000.0,2.0,75.0,1.0,MeninoDeus,Apartamento
2890000.0,3.0,29005.0,4.0,RioBranco,Apartamento
470000.0,2.0,6163.0,2.0,PassodaAreia,Apartamento
308500.0,2.0,5145.0,1.0,Teresópolis,Apartamento
719000.0,3.0,9582.0,2.0,Auxiliadora,Apartamento
997000.0,3.0,10599.0,2.0,PassodaAreia,Apartamento
1997000.0,4.0,44111.0,6.0,BelémNovo,Casa
270000.0,2.0,52.0,1.0,JardimCarvalho,Apartamento
1980000.0,3.0,17583.0,3.0,MontSerrat,Apartamento
750000.0,3.0,30614.0,2.0,Ipanema,Casa
1100000.0,3.0,103.0,2.0,JardimEuropa,Apartamento
690000.0,3.0,9871.0,2.0,Tristeza,Apartamento
790000.0,3.0,9942.0,1.0,PassodaAreia,Apartamento
590000.0,3.0,214.0,2.0,JardimIsabel,Casa
438000.0,2.0,6595.0,1.0,SãoSebastião,Apartamento
2500000.0,3.0,3576.0,4.0,Cristal,Cobertura
2600000.0,4.0,44925.0,6.0,BelémNovo,Casa
255000.0,2.0,4877.0,1.0,ProtásioAlves,Apartamento
2729582.0,3.0,1793.0,4.0,Petrópolis,Apartamento
744000.0,3.0,11259.0,2.0,PassodaAreia,Apartamento
479000.0,2.0,7884.0,1.0,Tristeza,Apartamento
495000.0,1.0,4195.0,1.0,BoaVista,Apartamento
1098000.0,3.0,11048.0,2.0,Petrópolis,Apartamento
1098000.0,2.0,10496.0,2.0,Petrópolis,Apartamento
650000.0,3.0,8866.0,2.0,Cristal,Apartamento
750000.0,1.0,14498.0,1.0,Petrópolis,Apartamento
356000.0,2.0,5616.0,1.0,Tristeza,Apartamento
304285.0,3.0,6523.0,1.0,Farrapos,Apartamento
910000.0,3.0,114.0,2.0,JardimdoSalso,Apartamento
359000.0,2.0,5788.0,1.0,VilaNova,Apartamento
1400000.0,3.0,10258.0,2.0,Auxiliadora,Apartamento
1300000.0,3.0,13352.0,2.0,RioBranco,Apartamento
1080000.0,3.0,10694.0,2.0,Floresta,Apartamento
1150000.0,3.0,10246.0,2.0,JardimEuropa,Apartamento
1699000.0,3.0,14015.0,2.0,BelaVista,Apartamento
425000.0,3.0,7322.0,1.0,JardimSabará,Apartamento
925000.0,3.0,114.0,2.0,JardimdoSalso,Apartamento
230000.0,2.0,5562.0,1.0,Petrópolis,Apartamento
250000.0,3.0,6006.0,1.0,RioBranco,Apartamento
480000.0,3.0,7684.0,2.0,Navegantes,Apartamento
245881.0,1.0,2983.0,0.0,Floresta,Loft
830000.0,3.0,94.0,2.0,BoaVista,Apartamento
435000.0,1.0,4876.0,1.0,SantaCecília,Apartamento
495000.0,3.0,10165.0,2.0,JardimItu,Apartamento
480000.0,2.0,136.0,2.0,JardimSabará,Apartamento
328294.0,1.0,7709.0,1.0,JardimBotânico,Apartamento
310000.0,2.0,5011.0,1.0,Cristal,Apartamento
1600000.0,3.0,26699.0,3.0,MontSerrat,Cobertura
553000.0,2.0,7393.0,1.0,PassodaAreia,Apartamento
980000.0,3.0,10573.0,2.0,BoaVista,Apartamento
1500000.0,2.0,229098.0,2.0,MeninoDeus,Cobertura
960000.0,3.0,134.0,3.0,Tristeza,Apartamento
775000.0,2.0,84.0,2.0,RioBranco,Apartamento
1050000.0,3.0,10599.0,2.0,PassodaAreia,Apartamento
940500.0,1.0,9433.0,2.0,MoinhosdeVento,Apartamento
1280000.0,3.0,11227.0,2.0,Petrópolis,Apartamento
449900.0,3.0,19269.0,3.0,JardimItu,Casa
365000.0,3.0,6651.0,1.0,SantoAntônio,Apartamento
560000.0,3.0,9871.0,2.0,Tristeza,Apartamento
890000.0,3.0,12792.0,1.0,MoinhosdeVento,Apartamento
1990000.0,3.0,18121.0,4.0,BelaVista,Apartamento
968000.0,2.0,8902.0,2.0,VilaJardim,Apartamento
479000.0,1.0,3705.0,1.0,TrêsFigueiras,Loft
295000.0,3.0,6356.0,1.0,Cristal,Apartamento
272000.0,2.0,5681.0,1.0,Sarandi,Apartamento
450000.0,3.0,796.0,1.0,JardimCarvalho,Apartamento
779000.0,2.0,8337.0,2.0,BelaVista,Apartamento
420000.0,2.0,6233.0,1.0,VilaIpiranga,Apartamento
500000.0,2.0,60.0,1.0,Glória,Apartamento
650000.0,3.0,29268.0,2.0,SantaTereza,Casa
1064000.0,3.0,13815.0,2.0,TrêsFigueiras,Apartamento
649000.0,3.0,8786.0,1.0,PassodaAreia,Apartamento
715000.0,2.0,8733.0,2.0,PassodAreia,Apartamento
1819000.0,3.0,34492.0,4.0,VilaNova,Casa
450000.0,3.0,140.0,2.0,ParqueSantaFé,Casa
349000.0,2.0,8674.0,1.0,Medianeira,Apartamento
335000.0,2.0,5788.0,1.0,VilaNova,Apartamento
4230000.0,6.0,40791.0,3.0,PedraRedonda,Casa
309000.0,2.0,6301.0,1.0,Medianeira,Apartamento
244328.0,2.0,5064.0,1.0,Farrapos,Apartamento
369000.0,1.0,3559.0,1.0,Floresta,Loft
1400000.0,2.0,9904.0,2.0,BelaVista,Apartamento
352192.0,1.0,2981.0,0.0,CentroHistórico,Apartamento
420000.0,1.0,5178.0,1.0,BoaVista,Apartamento
602243.0,2.0,5654.0,1.0,JardimLindoia,Apartamento
309000.0,3.0,6529.0,1.0,SantoAntônio,Apartamento
280900.0,2.0,535.0,1.0,JardimCarvalho,Apartamento
653132.0,2.0,8018.0,1.0,Floresta,Apartamento
6500000.0,4.0,75151.0,4.0,MontSerrat,Cobertura
615000.0,3.0,13965.0,3.0,Tristeza,Casa
1250000.0,3.0,250.0,3.0,Sarandi,Casa
249000.0,2.0,5125.0,1.0,Glória,Apartamento
250000.0,2.0,5131.0,1.0,Sarandi,Apartamento
700000.0,2.0,86.0,2.0,Petrópolis,Apartamento
750000.0,3.0,13897.0,2.0,Independência,Apartamento
450000.0,3.0,72.0,1.0,Camaquã,Apartamento
1600000.0,3.0,148.0,2.0,JardimEuropa,Apartamento
1190000.0,3.0,12449.0,2.0,VilaJardim,Apartamento
340000.0,3.0,68.0,1.0,JardimCarvalho,Apartamento
1995000.0,3.0,16179.0,3.0,MoinhosdeVento,Apartamento
440000.0,2.0,586.0,2.0,Tristeza,Apartamento
1413999.0,3.0,10262.0,2.0,Petrópolis,Apartamento
373000.0,2.0,6531.0,2.0,Tristeza,Apartamento
290000.0,2.0,5695.0,1.0,Sarandi,Apartamento
1700000.0,4.0,26207.0,4.0,MeninoDeus,Cobertura
540000.0,1.0,649.0,2.0,BelaVista,Apartamento
459000.0,2.0,9526.0,1.0,MontSerrat,Apartamento
970000.0,3.0,137.0,3.0,Tristeza,Apartamento
690000.0,3.0,84.0,2.0,PassodaAreia,Apartamento
3285000.0,3.0,23648.0,4.0,JardimEuropa,Apartamento
650000.0,3.0,8696.0,1.0,Cristal,Apartamento
1500000.0,3.0,162.0,3.0,CentralParque,Apartamento
3420000.0,4.0,22602.0,4.0,BelaVista,Apartamento
1430000.0,3.0,148.0,2.0,JardimEuropa,Apartamento
398000.0,2.0,5061.0,1.0,Azenha,Apartamento
365000.0,2.0,6552.0,1.0,VilaIpiranga,Apartamento
980000.0,3.0,239.0,3.0,Independência,Apartamento
934065.0,3.0,19889.0,2.0,ProtásioAlves,Casa
429000.0,2.0,5877.0,1.0,PassodaAreia,Apartamento
425000.0,1.0,64.0,1.0,JardimdoSalso,Loft
220000.0,2.0,46.0,1.0,Cristal,Apartamento
926000.0,2.0,165.0,1.0,MeninoDeus,Cobertura
350000.0,2.0,6651.0,1.0,SantoAntônio,Apartamento
244447.0,2.0,5064.0,1.0,Farrapos,Apartamento
630000.0,3.0,175.0,1.0,Hípica,Casa
219000.0,2.0,48.0,1.0,PassodasPedras,Apartamento
399000.0,3.0,31065.0,2.0,MárioQuintana,Casa
390000.0,2.0,7212.0,1.0,JardimSabará,Apartamento
499000.0,3.0,7586.0,1.0,Sarandi,Apartamento
636616.0,2.0,7885.0,2.0,CristoRedentor,Apartamento
399688.0,2.0,60.0,1.0,Glória,Apartamento
815192.0,2.0,10875.0,2.0,CristoRedentor,Apartamento
389908.0,1.0,8459.0,0.0,JardimBotânico,Loft
322099.0,2.0,57.0,1.0,BomJesus,Apartamento
3896550.0,3.0,51954.0,4.0,BelaVista,Apartamento
1881152.0,3.0,14536.0,3.0,Petrópolis,Apartamento
3986238.0,3.0,299.0,2.0,MontSerrat,Apartamento
1699000.0,3.0,25062.0,2.0,BelaVista,Apartamento
386001.0,1.0,2333.0,0.0,CentroHistórico,Flat
1211485.0,3.0,12168.0,2.0,SantaCecília,Apartamento
478703.0,3.0,67.0,1.0,SãoJoão,Apartamento
2071000.0,3.0,16345.0,2.0,BelaVista,Apartamento
799000.0,3.0,8988.0,2.0,Petrópolis,Apartamento
399000.0,3.0,7423.0,1.0,VilaIpiranga,Apartamento
600000.0,3.0,8434.0,1.0,BoaVista,Apartamento
315000.0,2.0,6765.0,1.0,JardimItu,Apartamento
639000.0,4.0,144.0,2.0,Sarandi,Casa
157500.0,2.0,4841.0,1.0,Camaquã,Apartamento
595000.0,2.0,82.0,1.0,SãoGeraldo,Apartamento
750000.0,1.0,4514.0,1.0,Petrópolis,Apartamento
420000.0,2.0,8041.0,1.0,SantaCecília,Apartamento
400000.0,3.0,15099.0,2.0,Cavalhada,Casa
320000.0,3.0,7102.0,1.0,Cavalhada,Apartamento
615000.0,1.0,435.0,1.0,Cristal,Loft
585000.0,2.0,686.0,2.0,PassodaAreia,Apartamento
380000.0,3.0,6754.0,2.0,Tristeza,Apartamento
280000.0,2.0,599.0,2.0,Teresópolis,Apartamento
669000.0,3.0,8396.0,1.0,PassodaAreia,Apartamento
350000.0,2.0,68.0,1.0,Tristeza,Apartamento
550000.0,3.0,19375.0,2.0,Cristal,Casa
1090000.0,5.0,400.0,4.0,VilaNova,Casa
299000.0,4.0,855.0,1.0,JardimItu,Casa
255000.0,2.0,4832.0,1.0,JardimItu,Apartamento
280000.0,2.0,6929.0,1.0,Humaitá,Casa
477000.0,2.0,5482.0,1.0,PassodaAreia,Apartamento
385000.0,3.0,110.0,2.0,Hípica,Casa
1930000.0,3.0,147.0,3.0,RioBranco,Apartamento
330000.0,2.0,5681.0,1.0,Sarandi,Apartamento
320000.0,2.0,6771.0,1.0,JardimBotânico,Apartamento
1280000.0,3.0,1255.0,2.0,MeninoDeus,Apartamento
480000.0,2.0,6654.0,1.0,PassodaAreia,Apartamento
275000.0,2.0,4846.0,1.0,Glória,Apartamento
3900000.0,3.0,39308.0,2.0,Tristeza,Casa
389000.0,2.0,5581.0,1.0,MeninoDeus,Apartamento
2900000.0,4.0,38518.0,4.0,BoaVista,Casa
2090000.0,4.0,35071.0,3.0,BelaVista,Cobertura
420000.0,2.0,15094.0,1.0,JardimBotânico,Cobertura
475000.0,3.0,13445.0,2.0,Cavalhada,Cobertura
380000.0,3.0,724.0,1.0,JardimCarvalho,Apartamento
279500.0,3.0,673.0,1.0,Humaitá,Apartamento
275000.0,2.0,5659.0,1.0,JardimCarvalho,Apartamento
530000.0,1.0,65.0,1.0,MeninoDeus,Apartamento
1210000.0,3.0,9961.0,2.0,MeninoDeus,Apartamento
440000.0,3.0,11115.0,1.0,JardimSabará,Apartamento
490000.0,3.0,8228.0,2.0,JardimLindóia,Apartamento
320000.0,2.0,562.0,1.0,Partenon,Apartamento
285000.0,2.0,5218.0,1.0,JardimCarvalho,Apartamento
340000.0,1.0,4446.0,1.0,CidadeBaixa,Apartamento
499400.0,2.0,13148.0,1.0,Higienópolis,Cobertura
256000.0,2.0,58.0,1.0,VilaNova,Apartamento
1187000.0,3.0,13461.0,2.0,PassodaAreia,Apartamento
1350000.0,4.0,140.0,2.0,Higienópolis,Apartamento
1350000.0,3.0,125.0,2.0,JardimEuropa,Apartamento
280000.0,2.0,5993.0,1.0,Teresópolis,Apartamento
330000.0,3.0,6356.0,1.0,Cristal,Apartamento
770000.0,3.0,13445.0,2.0,Cavalhada,Cobertura
610000.0,3.0,94.0,1.0,MeninoDeus,Apartamento
320000.0,2.0,7191.0,1.0,Partenon,Apartamento
597000.0,2.0,15438.0,0.0,Ipanema,Cobertura
440000.0,3.0,934.0,1.0,JardimLindóia,Apartamento
280000.0,0.0,3817.0,1.0,Auxiliadora,Sala
420000.0,2.0,9919.0,1.0,Petrópolis,Cobertura
520000.0,3.0,7467.0,1.0,PassodaAreia,Apartamento
530000.0,2.0,6986.0,2.0,PassodaAreia,Apartamento
229000.0,2.0,5737.0,1.0,Cavalhada,Apartamento
884071.0,3.0,10246.0,2.0,PassodAreia,Apartamento
380000.0,1.0,5142.0,1.0,JardimBotânico,Apartamento
509000.0,1.0,6573.0,1.0,Floresta,Loft
570000.0,3.0,13445.0,2.0,Cavalhada,Cobertura
330000.0,1.0,53.0,1.0,ChácaradasPedras,Apartamento
223500.0,2.0,5474.0,1.0,MorroSantana,Apartamento
440000.0,3.0,7058.0,1.0,Partenon,Apartamento
260000.0,2.0,57063.0,0.0,CristoRedentor,Apartamento
630000.0,3.0,8713.0,1.0,PassodaAreia,Apartamento
3240374.0,4.0,2576.0,4.0,BelaVista,Apartamento
1071940.0,3.0,12735.0,2.0,CentralParque,Apartamento
2373312.0,3.0,60113.0,3.0,Tristeza,Apartamento
568222.0,1.0,4195.0,1.0,BoaVista,Apartamento
581993.0,1.0,4195.0,1.0,MontSerrat,Apartamento
334640.0,0.0,4104.0,1.0,Independência,Sala
407972.0,2.0,6037.0,1.0,Glória,Apartamento
3303911.0,4.0,2576.0,4.0,BelaVista,Apartamento
690396.0,3.0,13522.0,2.0,RioBranco,Apartamento
426000.0,1.0,4635.0,1.0,Petrópolis,Apartamento
1435972.0,0.0,12417.0,3.0,Petrópolis,Sala
289000.0,2.0,731.0,1.0,Teresópolis,Apartamento
369000.0,2.0,7205.0,1.0,Teresópolis,Apartamento
117800.0,0.0,27617.0,0.0,MárioQuintana,Terreno
484000.0,3.0,7269.0,2.0,Camaquã,Apartamento
274520.0,2.0,5726.0,1.0,Humaitá,Apartamento
1985000.0,3.0,18473.0,3.0,MoinhosdeVento,Apartamento
808418.0,2.0,7388.0,2.0,Petrópolis,Apartamento
1621300.0,3.0,21103.0,2.0,Petrópolis,Apartamento
419000.0,3.0,84.0,1.0,JardimBotânico,Apartamento
458000.0,2.0,6253.0,1.0,PassodaAreia,Apartamento
185000.0,2.0,4803.0,1.0,JardimItu,Apartamento
290000.0,3.0,7102.0,1.0,Cavalhada,Apartamento
365000.0,3.0,6651.0,1.0,SantoAntônio,Apartamento
315000.0,3.0,7102.0,1.0,Cavalhada,Apartamento
759000.0,2.0,86.0,1.0,TrêsFigueiras,Apartamento
750000.0,3.0,240.0,2.0,Agronomia,Casa
1390000.0,3.0,13879.0,2.0,BelaVista,Apartamento
2450000.0,3.0,309.0,4.0,Auxiliadora,Cobertura
599000.0,2.0,15431.0,2.0,JardimBotânico,Apartamento
985000.0,4.0,45225.0,4.0,Nonoai,Casa
269000.0,2.0,7754.0,1.0,BomJesus,Apartamento
870000.0,3.0,286.0,2.0,JardimLindóia,Cobertura
495000.0,3.0,696.0,2.0,MontSerrat,Apartamento
2700000.0,3.0,2578.0,4.0,BelaVista,Apartamento
570000.0,1.0,4514.0,1.0,Petrópolis,Apartamento
800000.0,3.0,207.0,3.0,Agronomia,Casa
440000.0,1.0,3746.0,1.0,TrêsFigueiras,Apartamento
1200000.0,4.0,160.0,2.0,BoaVista,Apartamento
950000.0,3.0,10561.0,2.0,BelaVista,Apartamento
646000.0,3.0,76.0,2.0,MeninoDeus,Apartamento
380000.0,3.0,75.0,2.0,CristoRedentor,Apartamento
690000.0,4.0,144.0,3.0,Higienópolis,Cobertura
750000.0,3.0,1716.0,1.0,RioBranco,Apartamento
625000.0,3.0,12529.0,1.0,BomFim,Apartamento
300000.0,2.0,5218.0,1.0,JardimCarvalho,Apartamento
289000.0,2.0,6195.0,1.0,Camaquã,Apartamento
250000.0,2.0,4846.0,1.0,Glória,Apartamento
1100000.0,4.0,136512.0,2.0,Auxiliadora,Apartamento
498000.0,2.0,83.0,1.0,Auxiliadora,Apartamento
875000.0,3.0,13123.0,1.0,Petrópolis,Apartamento
1150000.0,3.0,16127.0,3.0,Petrópolis,Apartamento
278000.0,3.0,6273.0,1.0,SãoSebastião,Apartamento
618000.0,3.0,140.0,2.0,SantaTereza,Casa
695000.0,3.0,2022.0,2.0,AltoPetrópolis,Casa
575000.0,2.0,6684.0,2.0,Petrópolis,Apartamento
389000.0,1.0,6603.0,1.0,Auxiliadora,Apartamento
1680000.0,3.0,162.0,2.0,CentralParque,Apartamento
1280000.0,3.0,12089.0,2.0,PassodaAreia,Apartamento
480000.0,2.0,597.0,1.0,SãoJoão,Apartamento
470000.0,1.0,5761.0,1.0,MeninoDeus,Apartamento
330000.0,3.0,615.0,1.0,Cristal,Apartamento
425600.0,2.0,6047.0,1.0,Azenha,Apartamento
3990000.0,4.0,530.0,4.0,ChácaradasPedras,Casa
395000.0,3.0,7719.0,1.0,PassodaAreia,Apartamento
750000.0,3.0,115.0,2.0,BoaVista,Apartamento
650000.0,3.0,9467.0,1.0,MeninoDeus,Apartamento
1490000.0,4.0,28689.0,2.0,Cristal,Casa
447000.0,3.0,10964.0,2.0,Teresópolis,Casa
280000.0,2.0,5266.0,1.0,Nonoai,Apartamento
435000.0,2.0,6808.0,2.0,JardimBotânico,Apartamento
750000.0,3.0,12024.0,1.0,Petrópolis,Apartamento
1805000.0,4.0,330.0,6.0,BelémNovo,Casa
430000.0,2.0,6729.0,1.0,Santana,Apartamento
780000.0,3.0,101.0,1.0,MeninoDeus,Apartamento
458000.0,2.0,66.0,1.0,MeninoDeus,Apartamento
359000.0,3.0,7605.0,1.0,JardimCarvalho,Apartamento
212000.0,3.0,5989.0,1.0,VilaNova,Apartamento
1782000.0,3.0,162.0,2.0,Petrópolis,Apartamento
898000.0,3.0,13615.0,2.0,ChácaradasPedras,Apartamento
1290000.0,3.0,1348.0,2.0,PassodaAreia,Apartamento
435000.0,3.0,849.0,1.0,Sarandi,Apartamento
1056000.0,4.0,176.0,4.0,JardimBotânico,Apartamento
150000.0,2.0,4336.0,1.0,MorroSantana,Apartamento
950000.0,3.0,113.0,2.0,JardimLindóia,Apartamento
1065000.0,3.0,10599.0,2.0,PassodaAreia,Apartamento
749000.0,3.0,24079.0,2.0,Agronomia,Casa
1495000.0,3.0,162.0,3.0,CentralParque,Apartamento
650000.0,4.0,111.0,0.0,ChácaradasPedras,Apartamento
990000.0,3.0,10561.0,3.0,BelaVista,Apartamento
1270000.0,0.0,2851.0,6.0,MeninoDeus,Sala
850000.0,3.0,336.0,4.0,PedraRedonda,Casa
315000.0,3.0,7645.0,1.0,Sarandi,Casa
1000000.0,3.0,28893.0,2.0,ChácaradasPedras,Casa
550000.0,2.0,639.0,2.0,Santana,Apartamento
435000.0,1.0,5689.0,1.0,BelaVista,Apartamento
549000.0,2.0,15784.0,2.0,JardimLindóia,Cobertura
640000.0,3.0,8222.0,2.0,Santana,Apartamento
245000.0,3.0,6311.0,2.0,JardimItu,Apartamento
550000.0,3.0,98.0,0.0,BomFim,Apartamento
769000.0,3.0,99616.0,1.0,ChácaradasPedras,Apartamento
630000.0,3.0,8403.0,2.0,Camaquã,Apartamento
299000.0,2.0,693.0,1.0,Humaitá,Casa
230000.0,2.0,5508.0,0.0,PraiadeBelas,Apartamento
389000.0,3.0,79.0,0.0,Auxiliadora,Apartamento
250000.0,2.0,496.0,1.0,Sarandi,Apartamento
440000.0,1.0,45.0,1.0,Azenha,Apartamento
700000.0,3.0,8387.0,2.0,PassodaAreia,Apartamento
369000.0,3.0,156.0,2.0,Serraria,Casa
690000.0,3.0,9069.0,2.0,Tristeza,Apartamento
698250.0,3.0,10451.0,2.0,Cavalhada,Apartamento
629000.0,3.0,7962.0,2.0,JardimSabará,Apartamento
360000.0,1.0,6162.0,1.0,VilaIpiranga,Apartamento
240000.0,2.0,5581.0,0.0,PassodaAreia,Apartamento
298000.0,3.0,6342.0,1.0,Sarandi,Apartamento
294000.0,3.0,6798.0,1.0,Ipanema,Apartamento
750000.0,3.0,8713.0,1.0,PassodaAreia,Apartamento
1600000.0,3.0,14828.0,3.0,RioBranco,Apartamento
427000.0,3.0,7058.0,1.0,Partenon,Apartamento
650000.0,3.0,19988.0,2.0,Nonoai,Casa
355000.0,3.0,7148.0,1.0,Sarandi,Apartamento
275000.0,2.0,6442.0,0.0,CidadeBaixa,Apartamento
330000.0,2.0,59.0,1.0,VilaNova,Apartamento
