preco,dormitorios,area,vagas,bairro,tipo
1055000,3,128.0,3,CentralParque, Apartamento
1112000,3,136.34,2,MeninoDeus, Apartamento
1620000,3,204.87,3,RioBranco, Apartamento
1190000,3,241.0,2,Sarandi, Casa
3053011,4,271.3,4,BelaVista, Apartamento
512000,3,82.28,1,JardimLindóia, Apartamento
2750000,3,297.01,3,BoaVista, Cobertura
1490000,3,129.66,2,JardimEuropa, Apartamento
1050000,2,86.2,1,TrêsFigueiras, Apartamento
325000,1,42.0,0,CentroHistórico, Apartamento
780000,3,110.32,2,Auxiliadora, Apartamento
285000,2,61.56,1,JardimCarvalho, Apartamento
269000,2,52.41,1,Teresópolis, Apartamento
265000,2,58.0,1,VilaNova, Apartamento
1320000,3,177.0,3,Higienópolis, Apartamento
950000,3,105.87,2,Petrópolis, Apartamento
544000,1,64.0,1,JardimdoSalso, Loft
620000,3,82.53,2,Camaquã, Apartamento
1740000,3,191.41,4,RioBranco, Apartamento
558913,2,56.54,1,JardimLindoia, Apartamento
895000,4,149.0,2,Agronomia, Casa
830000,3,111.22,2,Higienópolis, Apartamento
3376614,4,236.48,4,VilaIpiranga, Apartamento
349000,3,72.05,1,Teresópolis, Apartamento
7800000,4,600.0,4,Petrópolis, Cobertura
1016000,3,128.0,2,CentralParque, Apartamento
3200000,6,445.39,2,TrêsFigueiras, Casa
1690000,3,120.39,2,MeninoDeus, Apartamento
1589000,3,162.0,3,CentralParque, Apartamento
1160000,3,130.71,2,MontSerrat, Apartamento
1190000,2,83.47,2,JardimEuropa, Apartamento
990000,2,174.56,1,ChácaradasPedras, Cobertura
465000,2,62.44,2,JardimdoSalso, Apartamento
539000,2,66.22,1,Petrópolis, Apartamento
439000,3,71.54,1,Medianeira, Apartamento
498041,1,36.76,1,BoaVista, Apartamento
1349000,3,140.0,2,BelaVista, Apartamento
683810,2,88.43,2,CristoRedentor, Apartamento
1609000,3,136.0,2,Petrópolis, Apartamento
395000,3,68.69,1,VilaIpiranga, Apartamento
306900,2,72.94,1,JardimCarvalho, Apartamento
319000,1,43.3,1,JardimdoSalso, Apartamento
380000,3,72.05,2,Teresópolis, Apartamento
260000,2,58.0,1,VilaNova, Apartamento
2400000,3,388.3,4,TrêsFigueiras, Casa
409131,1,42.9,1,Floresta, Apartamento
340000,3,63.0,1,JardimItu, Apartamento
380000,2,73.25,1,Cristal, Apartamento
330000,3,71.02,1,Cavalhada, Apartamento
550000,1,64.0,1,CentralParque, Loft
296000,3,67.54,1,Tristeza, Apartamento
655000,3,151.0,3,Sarandi, Casa
1700000,3,248.13,3,ChácaradasPedras, Casa
600000,3,73.24,1,ChácaradasPedras, Apartamento
590000,2,75.0,1,MeninoDeus, Apartamento
2890000,3,290.05,4,RioBranco, Apartamento
470000,2,61.63,2,PassodaAreia, Apartamento
308500,2,51.45,1,Teresópolis, Apartamento
719000,3,95.82,2,Auxiliadora, Apartamento
997000,3,105.99,2,PassodaAreia, Apartamento
1997000,4,441.11,6,BelémNovo, Casa
270000,2,52.0,1,JardimCarvalho, Apartamento
1980000,3,175.83,3,MontSerrat, Apartamento
750000,3,306.14,2,Ipanema, Casa
1100000,3,103.0,2,JardimEuropa, Apartamento
690000,3,98.71,2,Tristeza, Apartamento
790000,3,99.42,1,PassodaAreia, Apartamento
590000,3,214.0,2,JardimIsabel, Casa
438000,2,65.95,1,SãoSebastião, Apartamento
2500000,3,357.6,4,Cristal, Cobertura
2600000,4,449.25,6,BelémNovo, Casa
255000,2,48.77,1,ProtásioAlves, Apartamento
2729582,3,179.3,4,Petrópolis, Apartamento
744000,3,112.59,2,PassodaAreia, Apartamento
479000,2,78.84,1,Tristeza, Apartamento
495000,1,41.95,1,BoaVista, Apartamento
1098000,3,110.48,2,Petrópolis, Apartamento
1098000,2,104.96,2,Petrópolis, Apartamento
650000,3,88.66,2,Cristal, Apartamento
750000,1,144.98,1,Petrópolis, Apartamento
356000,2,56.16,1,Tristeza, Apartamento
304285,3,65.23,1,Farrapos, Apartamento
910000,3,114.0,2,JardimdoSalso, Apartamento
359000,2,57.88,1,VilaNova, Apartamento
1400000,3,102.58,2,Auxiliadora, Apartamento
1300000,3,133.52,2,RioBranco, Apartamento
1080000,3,106.94,2,Floresta, Apartamento
1150000,3,102.46,2,JardimEuropa, Apartamento
1699000,3,140.15,2,BelaVista, Apartamento
425000,3,73.22,1,JardimSabará, Apartamento
925000,3,114.0,2,JardimdoSalso, Apartamento
230000,2,55.62,1,Petrópolis, Apartamento
250000,3,60.06,1,RioBranco, Apartamento
480000,3,76.84,2,Navegantes, Apartamento
245881,1,29.83,0,Floresta, Loft
830000,3,94.0,2,BoaVista, Apartamento
435000,1,48.76,1,SantaCecília, Apartamento
495000,3,101.65,2,JardimItu, Apartamento
480000,2,136.0,2,JardimSabará, Apartamento
328294,1,77.09,1,JardimBotânico, Apartamento
310000,2,50.11,1,Cristal, Apartamento
1600000,3,266.99,3,MontSerrat, Cobertura
553000,2,73.93,1,PassodaAreia, Apartamento
980000,3,105.73,2,BoaVista, Apartamento
1500000,2,229.098,2,MeninoDeus, Cobertura
960000,3,134.0,3,Tristeza, Apartamento
775000,2,84.0,2,RioBranco, Apartamento
1050000,3,105.99,2,PassodaAreia, Apartamento
940500,1,94.33,2,MoinhosdeVento, Apartamento
1280000,3,112.27,2,Petrópolis, Apartamento
449900,3,192.69,3,JardimItu, Casa
365000,3,66.51,1,SantoAntônio, Apartamento
560000,3,98.71,2,Tristeza, Apartamento
890000,3,127.92,1,MoinhosdeVento, Apartamento
1990000,3,181.21,4,BelaVista, Apartamento
968000,2,89.02,2,VilaJardim, Apartamento
479000,1,37.05,1,TrêsFigueiras, Loft
295000,3,63.56,1,Cristal, Apartamento
272000,2,56.81,1,Sarandi, Apartamento
450000,3,79.6,1,JardimCarvalho, Apartamento
779000,2,83.37,2,BelaVista, Apartamento
420000,2,62.33,1,VilaIpiranga, Apartamento
500000,2,60.0,1,Glória, Apartamento
650000,3,292.68,2,SantaTereza, Casa
1064000,3,138.15,2,TrêsFigueiras, Apartamento
649000,3,87.86,1,PassodaAreia, Apartamento
715000,2,87.33,2,"""PassodAreia", Apartamento
1819000,3,344.92,4,VilaNova, Casa
450000,3,140.0,2,ParqueSantaFé, Casa
349000,2,86.74,1,Medianeira, Apartamento
335000,2,57.88,1,VilaNova, Apartamento
4230000,6,407.91,3,PedraRedonda, Casa
309000,2,63.01,1,Medianeira, Apartamento
244328,2,50.64,1,Farrapos, Apartamento
369000,1,35.59,1,Floresta, Loft
1400000,2,99.04,2,BelaVista, Apartamento
352192,1,29.81,0,CentroHistórico, Apartamento
420000,1,51.78,1,BoaVista, Apartamento
602243,2,56.54,1,JardimLindoia, Apartamento
309000,3,65.29,1,SantoAntônio, Apartamento
280900,2,53.5,1,JardimCarvalho, Apartamento
653132,2,80.18,1,Floresta, Apartamento
6500000,4,751.51,4,MontSerrat, Cobertura
615000,3,139.65,3,Tristeza, Casa
1250000,3,250.0,3,Sarandi, Casa
249000,2,51.25,1,Glória, Apartamento
250000,2,51.31,1,Sarandi, Apartamento
700000,2,86.0,2,Petrópolis, Apartamento
750000,3,138.97,2,Independência, Apartamento
450000,3,72.0,1,Camaquã, Apartamento
1600000,3,148.0,2,JardimEuropa, Apartamento
1190000,3,124.49,2,VilaJardim, Apartamento
340000,3,68.0,1,JardimCarvalho, Apartamento
1995000,3,161.79,3,MoinhosdeVento, Apartamento
440000,2,58.6,2,Tristeza, Apartamento
1413999,3,102.62,2,Petrópolis, Apartamento
373000,2,65.31,2,Tristeza, Apartamento
290000,2,56.95,1,Sarandi, Apartamento
1700000,4,262.07,4,MeninoDeus, Cobertura
540000,1,64.9,2,BelaVista, Apartamento
459000,2,95.26,1,MontSerrat, Apartamento
970000,3,137.0,3,Tristeza, Apartamento
690000,3,84.0,2,PassodaAreia, Apartamento
3285000,3,236.48,4,JardimEuropa, Apartamento
650000,3,86.96,1,Cristal, Apartamento
1500000,3,162.0,3,CentralParque, Apartamento
3420000,4,226.02,4,BelaVista, Apartamento
1430000,3,148.0,2,JardimEuropa, Apartamento
398000,2,50.61,1,Azenha, Apartamento
365000,2,65.52,1,VilaIpiranga, Apartamento
980000,3,239.0,3,Independência, Apartamento
934065,3,198.89,2,ProtásioAlves, Casa
429000,2,58.77,1,PassodaAreia, Apartamento
425000,1,64.0,1,JardimdoSalso, Loft
220000,2,46.0,1,Cristal, Apartamento
926000,2,165.0,1,MeninoDeus, Cobertura
350000,2,66.51,1,SantoAntônio, Apartamento
244447,2,50.64,1,Farrapos, Apartamento
630000,3,175.0,1,Hípica, Casa
219000,2,48.0,1,PassodasPedras, Apartamento
399000,3,310.65,2,MárioQuintana, Casa
390000,2,72.12,1,JardimSabará, Apartamento
499000,3,75.86,1,Sarandi, Apartamento
